num,reg,pos,loc,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
0,4,6, 1050398,benign, 0, 109, 0, 4, 995, 1, 280, 211, 0, 0, 41, 0, 74, 236, 0, 0, 113, 10242, 91, 6, 0, 0, 3, 377, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 515, 243, 28, 0, 0, 0, 1998, 2587, 3144, 0, 0, 0, 139, 177, 120, 0, 1549, 1805, 399, 0, 0, 0, 34, 29, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 48, 0, 2, 0, 0, 0, 0, 2420, 5490, 7494, 0, 2, 0, 149, 201, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1,4,7, 1050702,benign, 0, 106, 0, 4, 996, 1, 279, 211, 0, 0, 41, 0, 74, 236, 0, 0, 114, 10157, 91, 6, 0, 0, 3, 386, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 535, 363, 56, 0, 0, 0, 1677, 2474, 3130, 0, 0, 0, 135, 167, 120, 0, 1552, 1815, 391, 0, 0, 0, 34, 29, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 55, 0, 0, 0, 0, 0, 0, 2537, 5560, 7576, 0, 3, 0, 156, 210, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2,9,27, 1050643,benign, 0, 114, 0, 3, 1008, 0, 282, 209, 0, 0, 41, 0, 75, 237, 0, 0, 118, 10210, 91, 6, 0, 0, 3, 387, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 794, 241, 2, 0, 0, 0, 1844, 2746, 3131, 0, 0, 0, 135, 167, 120, 0, 1562, 1812, 397, 0, 0, 0, 34, 29, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2495, 5539, 7543, 0, 2, 0, 176, 228, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3,1,5, 1050433,benign, 0, 104, 0, 3, 1000, 0, 282, 209, 0, 0, 41, 0, 74, 236, 0, 0, 120, 10200, 91, 6, 0, 0, 3, 411, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 522, 262, 3, 0, 0, 0, 1726, 2615, 3104, 0, 0, 0, 182, 214, 120, 0, 1560, 1819, 391, 0, 0, 0, 34, 29, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 2448, 5650, 7648, 0, 1, 0, 152, 204, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4,9,12, 1050420,benign, 0, 87, 0, 3, 988, 5, 283, 212, 0, 0, 41, 0, 74, 236, 0, 0, 112, 10011, 91, 6, 0, 0, 3, 386, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 460, 358, 3, 0, 0, 0, 1462, 2390, 3070, 0, 0, 0, 139, 175, 120, 0, 1548, 1807, 399, 0, 0, 0, 34, 29, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 0, 1, 0, 0, 0, 0, 2089, 5220, 7218, 0, 1, 0, 171, 223, 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5,7,25, 1050604,benign, 0, 98, 0, 3, 986, 5, 279, 207, 0, 0, 41, 0, 74, 236, 0, 0, 118, 10084, 91, 6, 0, 0, 3, 380, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 571, 233, 2, 0, 0, 0, 1572, 2409, 3092, 0, 0, 0, 135, 167, 120, 0, 1565, 1810, 400, 0, 0, 0, 34, 29, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 2389, 5434, 7432, 0, 2, 0, 152, 204, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6,5,10, 1050403,benign, 0, 101, 0, 3, 1002, 0, 282, 212, 0, 0, 41, 0, 74, 236, 0, 0, 114, 10209, 91, 6, 0, 0, 3, 381, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 519, 230, 1, 0, 0, 0, 1801, 2673, 3103, 0, 0, 0, 140, 178, 120, 0, 1549, 1812, 395, 0, 0, 0, 34, 29, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2522, 5586, 7590, 0, 1, 0, 156, 212, 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7,3,20, 1050503,benign, 0, 112, 0, 3, 993, 0, 284, 210, 0, 0, 41, 0, 74, 236, 0, 0, 122, 10354, 91, 6, 0, 0, 3, 380, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 568, 349, 2, 0, 0, 0, 1860, 2799, 3154, 0, 0, 0, 135, 167, 120, 0, 1572, 1807, 400, 0, 0, 0, 34, 29, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2535, 5708, 7706, 0, 2, 0, 157, 211, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8,12,6, 1050675,benign, 0, 112, 0, 3, 995, 0, 279, 207, 0, 0, 41, 0, 74, 236, 0, 0, 115, 10350, 91, 6, 0, 0, 3, 378, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 554, 233, 2, 0, 0, 0, 1751, 2494, 3101, 0, 0, 0, 284, 318, 125, 0, 1573, 1810, 396, 0, 0, 0, 35, 32, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2483, 5555, 7553, 0, 2, 0, 156, 210, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9,10,16, 1050692,benign, 0, 84, 0, 3, 987, 5, 280, 207, 0, 0, 41, 0, 74, 236, 0, 0, 110, 10009, 91, 6, 0, 0, 3, 421, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 558, 255, 2, 0, 0, 0, 1610, 2342, 3068, 0, 0, 0, 135, 167, 120, 0, 1544, 1803, 393, 0, 0, 0, 34, 29, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2460, 5532, 7530, 0, 2, 0, 157, 211, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
